ParticipantID,SEX,ParticipantAge,PartnerNumber,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20,NumberChildrenExp,LHYearsLeftToLiv
327,0,28,3,2,2,2,5,5,3,4,5,3,4,5,6,3,3,3,4,4,-.44201679969636,.538352118707369,.180102342514866,-1.01302065400516,5,2,2,6,7,5,4,4,6,5,1,7,6,5,6,5,6,5,6,6,3,2
344,0,30,2,3,1,1,5,4,3,3,5,5,3,3,4,5,4,3,3,5,-.44201679969636,-.349201374296671,.180102342514866,.504442937912773,6,3,4,3,4,5,5,4,3,4,5,4,3,4,5,4,3,4,5,4,1,70
356,0,37,3,4,4,1,5,4,5,6,5,4,6,5,4,5,6,5,6,4,.394169620347785,.538352118707369,.964833977758214,.504442937912773,6,1,2,5,6,7,6,5,6,7,6,7,6,5,6,7,6,5,5,6,1,30
367,0,28,2,3,1,35,3,5,5,6,5,5,5,6,6,5,4,4,3,4,.394169620347785,1.42590561171141,.964833977758214,-1.01302065400516,3,3,5,2,2,2,1,2,2,1,2,3,3,1,2,1,2,1,1,1,2,90
376,0,28,3,2,1,1,5,2,4,5,5,5,3,4,5,5,3,5,3,6,.394169620347785,.538352118707369,.964833977758214,.504442937912773,6,4,3,5,4,5,3,5,6,4,6,4,4,5,3,5,3,3,5,4,1,50
379,0,27,3,7,6,8,1,1,7,1,4,7,4,2,4,4,4,4,2,2,.394169620347785,.538352118707369,-1.38936092797183,.504442937912773,5,2,2,7,7,1,7,1,4,7,7,1,7,7,7,6,6,6,4,4,1,60
384,0,29,1,1,1,1,6,4,4,5,4,7,6,4,6,5,3,5,5,3,.394169620347785,.538352118707369,.964833977758214,-.254288858046192,6,3,4,7,6,6,4,6,5,7,6,4,5,2,6,5,5,7,6,6,1,80
28,0,33,2,2,1,1,6,6,7,7,5,6,5,6,5,7,6,4,6,7,.394169620347785,1.42590561171141,.964833977758214,.504442937912773,5,2,1,6,6,1,6,7,6,6,6,5,6,6,7,6,6,5,7,6,2,55
30,0,35,4,1,1,0,1,4,4,4,1,6,1,1,1,4,4,1,1,4,1.23035604039193,.538352118707369,.964833977758214,-.254288858046192,4,2,3,4,5,6,6,4,4,6,4,2,5,6,6,6,6,6,6,4,2,40
33,0,27,1,1,1,3,5,6,3,5,5,4,5,5,5,3,6,5,5,4,-.44201679969636,-.349201374296671,-.604629292728481,-.254288858046192,5,3,3,6,5,4,6,5,5,6,5,5,6,4,6,6,5,5,4,6,1,30
35,0,42,1,1,1,0,4,5,1,1,4,4,4,5,1,1,7,1,7,1,-2.11438963978465,-2.12430836030475,-.604629292728481,-.254288858046192,5,3,6,5,7,5,5,6,5,5,5,5,6,5,5,5,4,4,5,4, , 
110,0,29,1,1,1,3,6,4,6,4,3,6,7,6,4,7,6,4,7,5,-.44201679969636,-.349201374296671,.964833977758214,-.254288858046192,6,3,1,4,6,1,4,6,4,7,6,4,7,6,4,3,6,5,4,6,1,20
115,0,36,5,5,1,1,7,2,7,6,7,6,6,5,7,4,7,5,7,4,.394169620347785,.538352118707369,1.74956561300156,.504442937912773,5,2,5,6,4,6,4,7,6,5,6,5,5,6,4,5,4,6,4,5,0,50
122,1,26,2,1,1,3,5,3,5,3,4,6,5,6,7,3,7,4,6,7,-.44201679969636,-.349201374296671,.180102342514866,.504442937912773,6,3,2,6,5,3,6,6,7,7,7,5,7,5,4,6,6,7,5,4,2,30
129,1,41,4,2,0,0,4,7,6,4,3,6,2,3,6,4,6,2,6,5,-1.27820321974051,-1.23675486730071,-.604629292728481,-1.01302065400516,4,2,1,6,7,7,7,7,4,5,7,6,7,7,7,5,5,5,5,7,0, 
140,1,44,3,3,1,0,1,1,5,1,1,6,1,1,1,1,7,1,6,1,-1.27820321974051,-.349201374296671,-1.38936092797183,-.254288858046192,5,2,2,6,2,7,7,7,1,6,1,7,5,5,5,7,7,7,5,1,0,25
183,1,58,3, ,0,2,1,1,7,5,1,6,1,1,1,5,7,1,7,7,-1.27820321974051,-1.23675486730071,-.604629292728481,.504442937912773,7,1,1,7,7,3,2,4,4,7,1,7,1,1,7,7,7,7,7,7,0,0
197,1,41,6,5,1,2,2,6,6,2,2,6,2,2,4,3,6,3,6,3,.394169620347785,.538352118707369,-.604629292728481,-.254288858046192,6,2,1,6,6,3,6,6,4,6,5,5,7,7,7,7,7,7,7,4,0,20
249,1,66,2,2,2,2,1,1,7,7,1,4,1,1,1,7,4,4,7,1,-2.11438963978465,-1.23675486730071,-1.38936092797183,-.254288858046192,6,2,1,7,7,7,7,6,7,7,7,5,7,7,7,7,7,7,7,7,2,30
306,0,38,10,1,1,4,6,6,5,6,6,5,5,6,4,5,4,5,5,6,-.44201679969636,-.349201374296671,-1.38936092797183,.504442937912773,4,3,3,6,4,5,4,5,4,6,6,5,5,5,5,4,6,6,5,4,2,60
315,0,29,10,1,1,4,1,4,6,3,5,3,5,3,7,5,3,5,4,6,1.23035604039193,.538352118707369,.180102342514866,1.26317473387174,2,2,5,6,5,7,5,7,3,5,3,6,4,5,7,6,3,4,6,5,10,50
317,0,29,5,12,5,4,5,5,6,5,4,5,3,4,5,5,6,3,5,5,.394169620347785,.538352118707369,1.74956561300156,1.26317473387174,5,2,1,5,5,3,7,5,6,6,5,6,4,5,4,5,6,5,4,5,2,65
330,0,25,5,5,2,2,4,5,6,5,6,5,5,4,5,5,4,5,4,5,-.44201679969636,.538352118707369,.964833977758214,-.254288858046192,5,2,3,6,5,6,5,4,5,6,4,5,6,5,6,5,6,5,6,5,1,5
332,0,34,5,11,2,2,3,5,5,5,3,6,3,3,3,4,5,3,4,3,1.23035604039193,1.42590561171141,.964833977758214,-.254288858046192,6,2,2,7,7,5,6,6,6,6,4,5,6,6,6,7,6,6,5,2,3,45
348,0,47,1,1,1,1,5,4,5,4,3,4,3,2,2,2,5,2,6,2,-1.27820321974051,-1.23675486730071,-1.38936092797183,-.254288858046192,5,2,2,6,7,4,7,7,7,7,7,6,6,6,7,6,6,6,6,6,2,20
351,0,30,1,2,2,2,5,6,4,4,4,5,5,3,5,6,6,5,5,5,-.44201679969636,-.349201374296671,.180102342514866,-1.01302065400516,6,2,1,7,6,5,5,5,7,6,6,7,7,7,6,6,7,7,7,6,1,32
352,0,33,4,2,1,10,6,4,7,7,5,4,6,7,4,7,4,6,7,5,.394169620347785,.538352118707369,-.604629292728481,.504442937912773,6,4,1,6,7,6,7,5,6,5,7,5,7,5,7,5,6,7,4,6,2,50
370,0,56,20,30,1,10,5,5,5,2,5,5,2,2,3,2,6,2,6,2,.394169620347785,.538352118707369,.964833977758214,-1.77175244996412,6,2,2,6,6,6,6,5,6,5,6,5,5,5,5,4,4,4,3,3,3,20
377,0,28,2,2,1,0,1,1,4,5,1,4,1,1,1,5,7,1,4,5,-2.11438963978465,-1.23675486730071,-.604629292728481,-1.01302065400516,5,2,4,7,6,2,6,5,6,6,1,5,6,4,4,7,6,6,7,7,2,40
21,0,30,5,25,1,7,4,4,4,4,4,6,4,4,4,4,5,4,6,5,.394169620347785,.538352118707369,-1.38936092797183,-.254288858046192,5,3,3,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,5,4,2,40
23,0,30,1,1,0,0,1,7,5,2,1,5,1,1,1,2,6,1,5,6,.394169620347785,.538352118707369,.964833977758214,-.254288858046192,5,1,3,2,5,6,2,2,4,5,6,7,6,3,1,5,7,5,1,1,0,20
25,0,25,2,2,2,3,6,5,3,6,6,7,6,7,6,5,6,5,6,6,1.23035604039193,.538352118707369,.180102342514866,1.26317473387174,5,2,6,7,6,2,6,5,5,7,5,6,5,5,5,6,6,6,5,6,2,20
26,0,29,3,3,2,6,6,6,4,6,6,6,2,7,4,7,7,1,7,6,-.44201679969636,-.349201374296671,-.604629292728481,1.26317473387174,7,1,7,7,7,5,6,6,7,7,6,6,7,7,7,7,7,7,7,7,3,70
27,0,24,6,8,3,12,5,6,7,6,2,7,2,6,5,6,7,5,6,5,1.23035604039193,.538352118707369,.964833977758214,1.26317473387174,5,1,2,7,5,3,7,5,4,7,2,3,5,6,6,7,6,7,7,2,0,30
