ParticipantID,SEX,ParticipantAge,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
87,0,45,1,3,1,5,1,4,1,2,7,1,6,1,2,6,8,8,7,2,6,2,2,6,6,7,7,7,5,4,4,4,7,7,5,4,4,4,6,6,7,6,4
326,0,45,1,4,4,5,1,1,1,1,5,1,5,2,2,1,1,1,1,9,2,2,2,5,6,6,7,6,6,6,6,7,6,7,7,6,5,6,6,6,6,5,5
373,0,45,1,7,1,7,1,1,4,7,7,1,7,7,2,3,1,1,1,9,1,1,1,6,6,5,7,7,6,1,7,7,7,7,7,6,5,6,6,6,6,5,6
279,1,44,1,1,1,1,2,1,1,1,4,1,4,1,1,2,1,1,1,8,2,3,1,5,5,6,6,6,4,7,5,4,4,4,4,7,5,7,5,5,5,4,7
140,1,44,1,1,1,6,1,1,1,1,7,1,6,1,1,1,1,1,1,1,1,1,1,5,6,6,6,2,7,7,7,1,6,1,7,5,5,5,7,7,7,5,1
126,1,44,2,2,2,7,2,2,1,2,6,1,6,2,2,2,2,2,1,8,3,2,2,5,6,5,6,6,5,7,5,7,5,1,7,6,5,5,6,7,7,7,6
156,1,44,6,6,2,5,2,5,6,6,7,4,7,6,2,3,3,1,1,8,2,2,2,1,7,6,7,5,3,1,1,7,7,7,7,2,1,1,7,7,7,5,5
289,1,44,6,5,4,5,6,7,6,5,6,1,1,1,2,2,2,1,2,9,6,7,4,5,6,7,7,7,6,7,6,7,7,6,7,7,6,7,4,6,7,6,5
295,1,44,5,2,2,5,2,2,5,2,5,2,5,2,2,3,3,8,5,3,3,2,2,5,4,6,6,5,7,7,3,4,6,6,2,7,6,6,6,6,6,5,4
298,1,44,5,2,2,4,2,3,2,2,6,2,6,2,2,4,4,7,2,7,2,2,2,1,5,1,1,1,6,3,7,5,2,7,7,6,5,7,5,5,6,2,2
